id,name,category,website,status,sso_support,sso_tier,sso_source,sso_checked,sso_enforcement_support,sso_enforcement_tier,sso_enforcement_source,sso_enforcement_checked,scim_support,scim_tier,scim_source,scim_checked,mfa_enforcement_support,mfa_enforcement_tier,mfa_enforcement_source,mfa_enforcement_checked,phishing_resistant_mfa_support,phishing_resistant_mfa_tier,phishing_resistant_mfa_source,phishing_resistant_mfa_checked,audit_logs_support,audit_logs_tier,audit_logs_source,audit_logs_checked,jit_provisioning_support,jit_provisioning_tier,jit_provisioning_source,jit_provisioning_checked,domain_verification_support,domain_verification_tier,domain_verification_source,domain_verification_checked,custom_roles_support,custom_roles_tier,custom_roles_source,custom_roles_checked,group_role_mapping_support,group_role_mapping_tier,group_role_mapping_source,group_role_mapping_checked,session_controls_support,session_controls_tier,session_controls_source,session_controls_checked,api_token_controls_support,api_token_controls_tier,api_token_controls_source,api_token_controls_checked
auth0,Auth0,security,https://auth0.com,draft,supported,free,,,unknown,,,,supported,paid,,,supported,free,,,supported,,,,supported,free,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
azure-devops,Azure DevOps,development,https://azure.microsoft.com/en-us/products/devops,draft,supported,free,,,unknown,,,,unknown,,,,supported,free,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
bamboohr,BambooHR,hr,https://www.bamboohr.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
basecamp,Basecamp,collaboration,https://basecamp.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,not_supported,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,not_supported,,,,unknown,,,
bill-com,Bill.com,finance,https://www.bill.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,not_supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
bitbucket-cloud,Bitbucket Cloud,development,https://bitbucket.org,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
box,Box,collaboration,https://box.com,draft,supported,paid,,,unknown,,,,supported,paid,,,supported,free,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
braze,Braze,sales_marketing,https://www.braze.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
brex,Brex,finance,https://www.brex.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
calendly,Calendly,productivity,https://calendly.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
canva,Canva,productivity,https://canva.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
circleci,CircleCI,development,https://circleci.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
cisco-webex,Cisco Webex,collaboration,https://webex.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,supported,paid,,,supported,,,,supported,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
citrix-sharefile,Citrix ShareFile,collaboration,https://www.sharefile.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
clickup,ClickUp,productivity,https://clickup.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
coursera-for-business,Coursera for Business,productivity,https://www.coursera.org/business,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
crowdstrike,CrowdStrike,security,https://www.crowdstrike.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,not_supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
databricks,Databricks,infrastructure,https://www.databricks.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
datadog,Datadog,infrastructure,https://www.datadoghq.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
deel,Deel,hr,https://www.deel.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
docker-hub,Docker Hub,development,https://hub.docker.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
docusign,DocuSign,productivity,https://docusign.com,draft,supported,enterprise,,,unknown,,,,supported,enterprise,,,supported,free,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
dropbox,Dropbox,collaboration,https://dropbox.com,draft,supported,paid,,,unknown,,,,supported,enterprise,,,supported,free,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
egnyte,Egnyte,collaboration,https://www.egnyte.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
expensify,Expensify,finance,https://www.expensify.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
figma,Figma,development,https://figma.com,draft,supported,paid,https://help.figma.com/hc/en-us/articles/360040532333-Guide-to-SAML-SSO,2026-09-14,supported,paid,https://help.figma.com/hc/en-us/articles/360052497994-Choose-organization-authentication-method,2026-09-14,supported,paid,https://help.figma.com/hc/en-us/articles/360048514653-Set-up-automatic-provisioning-via-SCIM,2026-09-14,partial,add_on,https://help.figma.com/hc/en-us/articles/31825370509591-Governance-for-Figma-Enterprise,2026-09-14,unknown,,,,supported,paid,https://help.figma.com/hc/en-us/articles/360040449533-View-and-export-activity-logs,2026-09-14,supported,paid,https://help.figma.com/hc/en-us/articles/360040532333-Guide-to-SAML-SSO,2026-09-14,supported,paid,https://help.figma.com/hc/en-us/articles/360040532333-Guide-to-SAML-SSO,2026-09-14,unknown,,,,unknown,,,,supported,add_on,https://help.figma.com/hc/en-us/articles/31825370509591-Governance-for-Figma-Enterprise,2026-09-14,unknown,,,
freshdesk,Freshdesk,sales_marketing,https://freshdesk.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
freshservice,Freshservice,infrastructure,https://freshservice.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
front,Front,collaboration,https://front.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
github,GitHub,development,https://github.com,draft,supported,enterprise,https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-saml-single-sign-on-for-your-organization/about-identity-and-access-management-with-saml-single-sign-on,2026-09-14,supported,enterprise,https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-saml-single-sign-on-for-your-organization/enforcing-saml-single-sign-on-for-your-organization,2026-09-14,partial,enterprise,https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-saml-single-sign-on-for-your-organization/about-scim-for-organizations,2026-09-14,supported,free,https://docs.github.com/en/organizations/keeping-your-organization-secure/managing-two-factor-authentication-for-your-organization/requiring-two-factor-authentication-in-your-organization,2026-09-14,supported,free,https://github.blog/changelog/2023-09-21-passkeys-are-generally-available/,2026-09-14,supported,,https://docs.github.com/en/organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/reviewing-the-audit-log-for-your-organization,2026-09-14,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
gitlab,GitLab,development,https://about.gitlab.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
gong,Gong,sales_marketing,https://www.gong.io,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
googleworkspace,Google Workspace,productivity,https://workspace.google.com,draft,supported,paid,https://knowledge.workspace.google.com/admin/getting-started/editions/compare-business-editions,2026-09-14,supported,paid,https://knowledge.workspace.google.com/admin/apps/setting-up-sso?hl=en,2026-09-14,partial,paid,https://learn.microsoft.com/en-us/entra/identity/saas-apps/g-suite-provisioning-tutorial,2026-09-14,supported,paid,https://knowledge.workspace.google.com/admin/security/deploy-2-step-verification?hl=en,2026-09-14,supported,paid,https://knowledge.workspace.google.com/admin/security/deploy-2-step-verification?hl=en,2026-09-14,supported,paid,https://knowledge.workspace.google.com/admin/getting-started/editions/compare-business-editions,2026-09-14,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,paid,https://knowledge.workspace.google.com/admin/getting-started/editions/compare-business-editions,2026-09-14,unknown,,,
grammarly,Grammarly,productivity,https://www.grammarly.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
greenhouse,Greenhouse,hr,https://www.greenhouse.io,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
gusto,Gusto,hr,https://gusto.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,not_supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
hootsuite,Hootsuite,sales_marketing,https://www.hootsuite.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
hubspot,HubSpot,sales_marketing,https://hubspot.com,draft,supported,enterprise,,,unknown,,,,supported,enterprise,,,supported,enterprise,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
intercom,Intercom,sales_marketing,https://intercom.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
lark,Lark,collaboration,https://www.larksuite.com,draft,supported,free,,,unknown,,,,unknown,,,,supported,free,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
lastpass,LastPass,security,https://www.lastpass.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
linear,Linear,development,https://linear.app,draft,supported,enterprise,https://linear.app/docs/saml-and-access-control,2026-09-14,supported,enterprise,https://linear.app/docs/saml-and-access-control,2026-09-14,supported,enterprise,https://linear.app/docs/scim,2026-09-14,unknown,,,,supported,,https://linear.app/changelog/2024-05-30-passkeys-a-fast-and-secure-way-to-log-in-to-linear,2026-09-14,supported,enterprise,https://linear.app/docs/audit-log,2026-09-14,supported,enterprise,https://linear.app/docs/saml-and-access-control,2026-09-14,supported,enterprise,https://linear.app/docs/saml-and-access-control,2026-09-14,unknown,,,,supported,enterprise,https://linear.app/docs/scim,2026-09-14,supported,,,,unknown,,,
linkedin-learning,LinkedIn Learning,productivity,https://learning.linkedin.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
loom,Loom,collaboration,https://www.loom.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
lucidchart,Lucidchart,productivity,https://www.lucidchart.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
mailchimp,Mailchimp,sales_marketing,https://mailchimp.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,not_supported,,,,unknown,,,,unknown,,,,not_supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
marketo,Marketo,sales_marketing,https://www.marketo.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
microsoft-teams,Microsoft Teams,collaboration,https://www.microsoft.com/en-us/microsoft-teams,draft,supported,free,,,unknown,,,,unknown,,,,supported,free,,,supported,,,,supported,paid,,,supported,,,,supported,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
microsoft365,Microsoft 365,productivity,https://microsoft365.com,draft,supported,free,,,unknown,,,,supported,free,,,supported,free,,,supported,,,,supported,free,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
miro,Miro,collaboration,https://miro.com,draft,supported,paid,,,unknown,,,,supported,enterprise,,,supported,paid,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
mixpanel,Mixpanel,productivity,https://mixpanel.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
monday-com,monday.com,productivity,https://monday.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
mural,Mural,collaboration,https://www.mural.co,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
navan,Navan,finance,https://navan.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
netsuite,NetSuite,finance,https://www.netsuite.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
new-relic,New Relic,infrastructure,https://newrelic.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
notion,Notion,productivity,https://notion.so,draft,supported,paid,https://www.notion.com/help/saml-sso-configuration,2026-09-14,supported,paid,https://www.notion.com/help/saml-sso-configuration,2026-09-14,supported,enterprise,https://www.notion.com/help/provision-users-and-groups-with-scim,2026-09-14,partial,enterprise,https://www.notion.com/help/mfa-enforcement,2026-09-14,unknown,,,,supported,enterprise,https://www.notion.com/help/audit-log,2026-09-14,supported,paid,https://www.notion.com/help/saml-sso-configuration,2026-09-14,supported,paid,https://www.notion.com/help/saml-sso-configuration,2026-09-14,unknown,,,,unknown,,,,supported,,,,unknown,,,
outreach,Outreach,sales_marketing,https://www.outreach.io,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
pagerduty,PagerDuty,infrastructure,https://www.pagerduty.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
pandadoc,PandaDoc,productivity,https://www.pandadoc.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
pipedrive,Pipedrive,sales_marketing,https://www.pipedrive.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
pluralsight,Pluralsight,productivity,https://www.pluralsight.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
postman,Postman,development,https://www.postman.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
qualtrics,Qualtrics,sales_marketing,https://www.qualtrics.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
quickbooks-online,QuickBooks Online,finance,https://quickbooks.intuit.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,not_supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
ramp,Ramp,finance,https://ramp.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
ringcentral,RingCentral,collaboration,https://www.ringcentral.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
rippling,Rippling,hr,https://www.rippling.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
salesforce,Salesforce,sales_marketing,https://salesforce.com,draft,supported,paid,,,unknown,,,,supported,enterprise,,,supported,free,,,supported,,,,supported,paid,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
sap-concur,SAP Concur,finance,https://www.concur.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
servicenow,ServiceNow,infrastructure,https://www.servicenow.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
shopify,Shopify,sales_marketing,https://www.shopify.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
shortcut,Shortcut,development,https://www.shortcut.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
slack,Slack,collaboration,https://slack.com,draft,supported,paid,https://slack.com/help/articles/203772216-Set-up-SAML-single-sign-on-for-Slack,2026-09-14,supported,paid,https://slack.com/help/articles/203772216-Set-up-SAML-single-sign-on-for-Slack,2026-09-14,supported,paid,https://slack.com/help/articles/212572638-Manage-members-with-SCIM-provisioning,2026-09-14,supported,free,https://slack.com/help/articles/212221668-Mandatory-workspace-two-factor-authentication,2026-09-14,unknown,,,,supported,enterprise,https://slack.com/help/articles/360000394286-Audit-logs-in-Slack,2026-09-14,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
smartsheet,Smartsheet,productivity,https://smartsheet.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,supported,enterprise,,,supported,,,,supported,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
snowflake,Snowflake,infrastructure,https://www.snowflake.com,draft,supported,free,,,unknown,,,,unknown,,,,supported,free,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
snyk,Snyk,security,https://snyk.io,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
splunk,Splunk,infrastructure,https://www.splunk.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
sprout-social,Sprout Social,sales_marketing,https://sproutsocial.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
stripe,Stripe,finance,https://stripe.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,free,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
surveymonkey,SurveyMonkey,sales_marketing,https://www.surveymonkey.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
tableau,Tableau,productivity,https://www.tableau.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
